cohort	gene	celltype	mean_expression	detection_fraction	donor_count	detected_donor_count	status	bootstrap_first_frequency
GSE263733	ADA	Endothelial	3.0035958923271315	0.17331130637367692	4	4	EVALUABLE	0.0
GSE263733	ADA	Epithelial/Ductal	1.6322918877898493	0.1536742538489049	18	18	EVALUABLE	0.0
GSE263733	ADA	Fibroblast/CAF	1.8705459747843143	0.11817558661010023	11	10	EVALUABLE	0.0
GSE263733	ADA	Myeloid	2.8382371467479244	0.1586044451635616	20	20	EVALUABLE	0.0
GSE263733	ADA	T/NK	3.482938352621109	0.14454240420667555	20	20	EVALUABLE	1.0
GSE263733	ADA2	Acinar	1.2837843446805128	0.05536342830656019	4	3	EVALUABLE	0.0
GSE263733	ADA2	B/Plasma	3.257884826837224	0.17290811404660383	17	17	EVALUABLE	0.0
GSE263733	ADA2	Endothelial	1.5705590557345561	0.062423301119803626	4	3	EVALUABLE	0.0
GSE263733	ADA2	Epithelial/Ductal	0.47202318101373336	0.020143584102012706	18	15	EVALUABLE	0.0
GSE263733	ADA2	Fibroblast/CAF	1.0779287394100892	0.057450145005438456	11	8	EVALUABLE	0.0
GSE263733	ADA2	Myeloid	4.901864828476601	0.6706239272141884	20	20	EVALUABLE	1.0
GSE263733	ADA2	T/NK	2.915976646214788	0.09097589296714077	20	20	EVALUABLE	0.0
GSE263733	ADHFE1	Acinar	1.7400493686900291	0.08961939753793016	4	4	EVALUABLE	0.86
GSE263733	ADHFE1	B/Plasma	0.10221920552775163	0.0013498407695851705	17	3	EVALUABLE	0.0
GSE263733	ADHFE1	Endothelial	0.5182958419931318	0.010814542107685201	4	2	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ADHFE1	Epithelial/Ductal	0.7404598243287183	0.040186328016354654	18	18	EVALUABLE	0.0
GSE263733	ADHFE1	Fibroblast/CAF	0.8752756295218137	0.036937185542457625	11	9	EVALUABLE	0.0
GSE263733	ADHFE1	Myeloid	0.8436653659374453	0.02132067623562877	20	19	EVALUABLE	0.0
GSE263733	ADHFE1	T/NK	1.4410280165961094	0.021047807582567333	20	20	EVALUABLE	0.14
GSE263733	AGMAT	Acinar	0.20697329027395386	0.004596568989575625	4	2	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AGMAT	B/Plasma	1.4227481817277596	0.034258311524790995	17	15	EVALUABLE	0.025
GSE263733	AGMAT	Endothelial	0.3097353601496713	0.00593877032520325	4	2	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AGMAT	Epithelial/Ductal	1.4829919797662048	0.10852710030478346	18	18	EVALUABLE	0.08
GSE263733	AGMAT	Fibroblast/CAF	0.43171374801446233	0.023256455999853074	11	5	EVALUABLE	0.0
GSE263733	AGMAT	Myeloid	0.42776692828826174	0.008693961102999439	20	15	EVALUABLE	0.0
GSE263733	AGMAT	T/NK	1.7448795611102401	0.025632362117236962	20	20	EVALUABLE	0.895
